DATE,SINGAPORE - SINGAPORE DOLLAR/US$,CHINA - YUAN/US$
1/3/2000,1.6563,8.2798
1/4/2000,1.6535,8.2799
1/5/2000,1.656,8.2798
1/6/2000,1.6655,8.2797
1/7/2000,1.6625,8.2794
1/10/2000,1.6618,8.2794
1/11/2000,1.669,8.2795
1/12/2000,1.669,8.2796
1/13/2000,1.67,8.2798
1/14/2000,1.6752,8.2797
1/17/2000,ND,ND
1/18/2000,1.6735,8.2793
1/19/2000,1.6753,8.2797
1/20/2000,1.6765,8.2794
1/21/2000,1.681,8.2795
1/24/2000,1.6825,8.2789
1/25/2000,1.6867,8.2786
1/26/2000,1.695,8.2782
1/27/2000,1.693,8.2783
1/28/2000,1.71,8.2781
1/31/2000,1.701,8.2777
2/1/2000,1.699,8.2774
2/2/2000,1.6985,8.2773
2/3/2000,1.6925,8.2781
2/4/2000,1.693,8.2788
2/7/2000,1.6958,8.2788
2/8/2000,1.6968,8.2788
2/9/2000,1.6918,8.2788
2/10/2000,1.6929,8.2788
2/11/2000,1.6947,8.2788
2/14/2000,1.6975,8.2779
2/15/2000,1.696,8.2777
2/16/2000,1.7033,8.2777
2/17/2000,1.706,8.2772
2/18/2000,1.7058,8.2772
2/21/2000,ND,ND
2/22/2000,1.7085,8.2773
2/23/2000,1.714,8.278
2/24/2000,1.7165,8.278
2/25/2000,1.711,8.2786
2/28/2000,1.7185,8.2786
2/29/2000,1.7237,8.2786
3/1/2000,1.7182,8.2786
3/2/2000,1.7214,8.2787
3/3/2000,1.7253,8.2789
3/6/2000,1.7252,8.2785
3/7/2000,1.7199,8.2784
3/8/2000,1.714,8.2786
3/9/2000,1.708,8.2787
3/10/2000,1.7035,8.2785
3/13/2000,1.7068,8.2781
3/14/2000,1.7095,8.278
3/15/2000,1.715,8.2778
3/16/2000,1.712,8.2777
3/17/2000,1.7161,8.2785
3/20/2000,1.72,8.2786
3/21/2000,1.7188,8.2783
3/22/2000,1.7125,8.2783
3/23/2000,1.7115,8.2787
3/24/2000,1.716,8.2789
3/27/2000,1.716,8.2792
3/28/2000,1.715,8.2795
3/29/2000,1.7168,8.2789
3/30/2000,1.7194,8.2788
3/31/2000,1.712,8.2787
4/3/2000,1.7173,8.2786
4/4/2000,1.7183,8.2791
4/5/2000,1.716,8.2795
4/6/2000,1.715,8.2795
4/7/2000,1.7162,8.2795
4/10/2000,1.719,8.2798
4/11/2000,1.72,8.2791
4/12/2000,1.7193,8.2796
4/13/2000,1.716,8.2794
4/14/2000,1.7078,8.2794
4/17/2000,1.7069,8.2794
4/18/2000,1.699,8.279
4/19/2000,1.6992,8.2793
4/20/2000,1.6978,8.2791
4/21/2000,1.699,8.2785
4/24/2000,1.702,8.2786
4/25/2000,1.704,8.2791
4/26/2000,1.7055,8.2795
4/27/2000,1.707,8.2798
4/28/2000,1.7065,8.2799
5/1/2000,1.709,8.2799
5/2/2000,1.7178,8.2799
5/3/2000,1.7215,8.2799
5/4/2000,1.722,8.2799
5/5/2000,1.7222,8.2799
5/8/2000,1.7235,8.2798
5/9/2000,1.7295,8.279
5/10/2000,1.729,8.2785
5/11/2000,1.7263,8.2782
5/12/2000,1.7278,8.2778
5/15/2000,1.7335,8.2777
5/16/2000,1.7325,8.2772
5/17/2000,1.734,8.2768
5/18/2000,1.734,8.2773
5/19/2000,1.7275,8.2768
5/22/2000,1.7317,8.277
5/23/2000,1.735,8.2768
5/24/2000,1.737,8.2769
5/25/2000,1.7328,8.2773
5/26/2000,1.7343,8.2771
5/29/2000,ND,ND
5/30/2000,1.7332,8.2772
5/31/2000,1.7345,8.2773
6/1/2000,1.732,8.2771
6/2/2000,1.724,8.2771
6/5/2000,1.7205,8.277
6/6/2000,1.7205,8.2773
6/7/2000,1.722,8.2773
6/8/2000,1.7205,8.2775
6/9/2000,1.723,8.2772
6/12/2000,1.7225,8.2771
6/13/2000,1.7213,8.277
6/14/2000,1.7215,8.2768
6/15/2000,1.7245,8.2768
6/16/2000,1.7258,8.2768
6/19/2000,1.7322,8.2768
6/20/2000,1.733,8.2772
6/21/2000,1.734,8.2772
6/22/2000,1.7345,8.2771
6/23/2000,1.7325,8.2769
6/26/2000,1.7341,8.2773
6/27/2000,1.7343,8.2774
6/28/2000,1.735,8.2775
6/29/2000,1.7345,8.278
6/30/2000,1.7275,8.2782
7/3/2000,1.7327,8.2786
7/4/2000,ND,ND
7/5/2000,1.738,8.2787
7/6/2000,1.7367,8.2791
7/7/2000,1.737,8.2793
7/10/2000,1.7385,8.2795
7/11/2000,1.7435,8.2794
7/12/2000,1.7435,8.2795
7/13/2000,1.7435,8.2791
7/14/2000,1.7432,8.2796
7/17/2000,1.7478,8.2791
7/18/2000,1.7465,8.2796
7/19/2000,1.746,8.2796
7/20/2000,1.7458,8.2796
7/21/2000,1.748,8.2795
7/24/2000,1.7447,8.2798
7/25/2000,1.7455,8.2797
7/26/2000,1.7428,8.2796
7/27/2000,1.7346,8.2793
7/28/2000,1.735,8.2794
7/31/2000,1.7342,8.2792
8/1/2000,1.732,8.2788
8/2/2000,1.727,8.2791
